Box threshold,Text threshold,Image,Text Prompt,Output Image,flag,username,timestamp
0.05,0.01,"{""path"":""flagged/Image/a693bb7902013c7aa199/street.jpg"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/9080704d03d5d3602599065fc61038fbae8206df/street.jpg"",""size"":null,""orig_name"":""street.jpg"",""mime_type"":null,""is_stream"":false}",car,"{""path"":""flagged/Output Image/f8741bb7b26a823e05df/image.png"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/75d8e76f41a17e38143a828df2849ec7e8f76684/image.png"",""size"":null,""orig_name"":""image.png"",""mime_type"":null,""is_stream"":false}",,,2024-02-12 19:19:54.473697
0.14,0.11,"{""path"":""flagged/Image/03dd4996a7d293b5ca54/street.jpg"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/9080704d03d5d3602599065fc61038fbae8206df/street.jpg"",""size"":null,""orig_name"":""street.jpg"",""mime_type"":null,""is_stream"":false}",car,"{""path"":""flagged/Output Image/49d92405da85aa04a660/image.png"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/34b9ce0b39625aea45cccc2111d2b9646636db3a/image.png"",""size"":null,""orig_name"":""image.png"",""mime_type"":null,""is_stream"":false}",,,2024-02-12 19:20:17.240878
